pk_porg,pk_account,fk_financial_year
3753,10003652,202425
3764,10003663,202425
3766,10003665,202425
3767,10003666,202425
3768,10003667,202425
3770,10003669,202425
3771,10003670,202425
3785,10003684,202425
3788,30073856,202425
3793,10003692,202425
3803,10003702,202425
3804,10003703,202425
3810,10003709,202425
3820,10003719,202425
3825,10018019,202425
3831,10003730,202425
3847,10003746,202425
3849,10006819,202425
3852,30068324,202425
3912,10003811,202425
3923,10007612,202425
3953,10003852,202425
3962,10003861,202425
3968,10003867,202425
3969,10003868,202425
3971,10003870,202425
3983,10003882,202425
3986,10003885,202425
3998,10007946,202425
4008,10003907,202425
4014,10003913,202425
4030,30069232,202425
4032,10003931,202425
4047,10003946,202425
4055,10003954,202425
4072,30049808,202425
4075,10003974,202425
4078,10003977,202425
4082,10003982,202425
4085,10003984,202425
4109,10004008,202425
4111,10004010,202425
4130,30073022,202425
4133,10011499,202425
4134,10004033,202425
4146,10004045,202425
4148,30061073,202425
4149,10003934,202425
4149,10004048,202425
4164,10004063,202425
4187,30116326,202425
4202,10004101,202425
4203,10004102,202425
4204,10004103,202425
4209,10004108,202425
4212,10012577,202425
4230,30086048,202425
4231,30073329,202425
4233,30011461,202425
4242,10004141,202425
4249,10010529,202425
4257,30041660,202425
4262,10004161,202425
4278,10004177,202425
4279,10004178,202425
4282,10003724,202425
4331,10004230,202425
4354,30068326,202425
4365,10004264,202425
4405,10004304,202425
4410,10004309,202425
4443,10002593,202425
4453,10004352,202425
4461,10004360,202425
4463,10004362,202425
4466,10012587,202425
4477,10004376,202425
4481,30041657,202425
4484,30078221,202425
4487,10004386,202425
4488,30082735,202425
4489,30013376,202425
4493,30103503,202425
4496,10004395,202425
4505,10003720,202425
4525,30080702,202425
4532,30081691,202425
4537,10004436,202425
4539,10010100,202425
4546,10010500,202425
4561,10006202,202425
4593,10004492,202425
4595,10001016,202425
4596,10004495,202425
4613,10004512,202425
4623,30009961,202425
4627,30041230,202425
4650,10004549,202425
4658,30007776,202425
4666,10008832,202425
4671,10004570,202425
